"","event","points","total_points","rank","rank_sort","overall_rank","percentile_rank","bank","value","event_transfers","event_transfers_cost","points_on_bench","rank_percentile","line_color"
"1",1,69,69,1548384,1549047,1548384,20,0,1000,0,0,6,15.49047,29.8596
"2",2,77,146,2985611,2985960,1451656,35,0,1002,0,0,8,29.8596,38.1915
"3",3,71,217,3818999,3819150,1777258,40,0,1008,2,0,11,38.1915,99.87855
"4",4,25,242,9987823,9987855,4399412,100,0,1010,0,0,3,99.87855,4.40359
"5",5,80,322,440120,440359,2612439,5,0,1013,0,0,4,4.40359,53.9384
"6",6,48,370,5393587,5393840,2921976,55,1,1008,0,0,9,53.9384,39.62432
"7",7,49,419,3962137,3962432,2747093,40,1,1012,0,0,16,39.62432,6.50823
"8",8,55,474,650784,650823,1598828,10,3,1014,1,0,3,6.50823,39.69731
"9",9,59,533,3969500,3969731,1663095,40,13,1015,2,0,7,39.69731,7.32224
"10",10,57,590,732163,732224,1069970,10,5,1019,3,0,12,7.32224,19.2116
"11",11,62,652,1920994,1921160,888898,20,5,1024,0,0,4,19.2116,1.67827
"12",12,83,735,167780,167827,358982,5,6,1023,2,0,3,1.67827,0.84819
"13",13,99,834,84804,84819,126004,1,6,1029,0,0,10,0.84819,59.71092
"14",14,57,891,5970809,5971092,193074,60,24,1031,1,0,0,59.71092,11.72613
"15",15,69,960,1172481,1172613,115016,15,3,1032,1,0,2,11.72613,4.14641
"16",16,69,1029,414599,414641,56660,5,4,1037,1,0,5,4.14641,1.94673
"17",17,101,1130,194632,194673,22944,5,5,1041,2,0,29,1.94673,6.46943
"18",18,73,1203,646795,646943,16070,10,35,1044,1,0,16,6.46943,33.5236
"19",19,75,1278,3352189,3352360,21250,35,35,1050,0,0,4,33.5236,36.15953
"20",20,67,1345,3615825,3615953,22868,35,6,1049,2,0,18,36.15953,4.09784
"21",21,88,1433,409672,409784,10462,5,3,1054,1,0,15,4.09784,67.4239
"22",22,42,1475,6742019,6742390,16672,65,3,1059,0,0,11,67.4239,19.8726
"23",23,70,1545,1986984,1987260,12324,20,7,1062,1,0,11,19.8726,15.72756
"24",24,125,1670,1572583,1572756,13900,15,4,1062,1,0,4,15.72756,3.64891
"25",25,109,1779,364749,364891,7606,5,8,1058,2,0,1,3.64891,12.26157
"26",26,86,1861,1226040,1226157,9388,15,17,1055,2,4,9,12.26157,18.52826
"27",27,64,1925,1852599,1852826,7561,20,24,1054,1,0,5,18.52826,8.29526
"28",28,72,1997,829441,829526,4349,10,24,1056,0,0,22,8.29526,27.98352
"29",29,52,2045,2798209,2798352,5597,25,7,1051,3,4,3,27.98352,36.24156
"30",30,50,2095,3622892,3624156,5936,35,0,1042,0,0,10,36.24156,3.13768
"31",31,60,2155,312948,313768,4176,5,0,1051,0,0,4,3.13768,10.24314
"32",32,84,2239,1023850,1024314,4058,10,0,1055,0,0,9,10.24314,7.32855
"33",33,82,2321,732703,732855,2959,10,25,1056,3,0,0,7.32855,5.35972
"34",34,83,2404,535491,535972,2926,5,25,1059,0,0,19,5.35972,45.02325
"35",35,45,2449,4502002,4502325,3667,40,47,1055,1,0,11,45.02325,NA
